id,title,description,link,image_link,price,brand,availability,condition
9347f2fa-9aab-4d43-a5fa-df7d6b42a9c2,Škoda Octavia Combi 1.4 TSI iV PHEV Business Edition,,https://www.almn.nl/p/skoda-octavia-combi-1-4-tsi-iv-phev-business-edition-46423759,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5333/166bdcde-9193-4cc9-8b25-0571c471791b.jpg,"€ 29.736,00",Škoda,in stock,used
410f09bc-e2fc-45d6-98bb-0902856aaa5f,SEAT Arona 1.0 EcoTSI 115pk Style,,https://www.almn.nl/p/seat-arona-1-0-ecotsi-115pk-style-47908807,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5330/03a39bbe-52b2-497e-9580-1d8187942dd8.jpg,"€ 25.562,00",SEAT,in stock,used
ee796a1e-2bfa-4d74-97ff-0c8ae8a92e77,SEAT Arona 1.0 EcoTSI 115pk DSG Style,,https://www.almn.nl/p/seat-arona-1-0-ecotsi-115pk-dsg-style-47908779,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5327/8e67e601-8dd0-4b75-b2de-0c25436734bd.jpg,"€ 23.458,00",SEAT,in stock,used
e54b09e5-06d3-4226-b349-4df44158a009,Škoda Kamiq 1.0 TSI 115pk DSG Business Edition,,https://www.almn.nl/p/skoda-kamiq-1-0-tsi-115pk-dsg-business-edition-44754272,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5326/3d87c8ba-2d00-48a0-830f-f35e03ae2cdc.jpg,"€ 0,00",Škoda,in stock,used
8743f3ba-94d7-4036-b986-c10d6fc9723d,Volkswagen T-Roc 1.5 TSI DSG Life Edition,,https://www.almn.nl/p/volkswagen-t-roc-1-5-tsi-dsg-life-edition-46422024,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5325/01f750f9-902b-49b5-9f9e-83d223718c74.jpg,"€ 33.408,00",Volkswagen,in stock,used
f32d77ef-1190-4e3c-9bc7-51e147cf1eb4,Audi A3 Limousine 30 TFSI 115pk S tronic Advanced edition,,https://www.almn.nl/p/audi-a3-limousine-30-tfsi-115pk-s-tronic-advanced-edition-44753401,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5324/81d5b7ba-7afa-4322-bd8a-bb1cbe5b0a8a.jpg,"€ 30.982,00",Audi,in stock,used
1e6c0544-e033-4cef-9cb9-f7de264ab27e,Volkswagen T-Cross 1.0 TSI 115pk DSG Life Edition,,https://www.almn.nl/p/volkswagen-t-cross-1-0-tsi-115pk-dsg-life-edition-47908717,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5323/0f5de1bb-2ff6-462d-9ea8-1521b82b9902.jpg,"€ 0,00",Volkswagen,in stock,used
9157b772-8cdd-4d65-bec9-f70436389b9a,Volkswagen Polo 1.0 TSI 95pk DSG Life Edition,,https://www.almn.nl/p/volkswagen-polo-1-0-tsi-95pk-dsg-life-edition-44628411,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5320/7bcae854-85af-4f70-aa43-df36f53c1a79.jpg,"€ 0,00",Volkswagen,in stock,used
83ac6525-5221-40c0-ab80-59faf42296ae,Volkswagen Polo 1.0 TSI 95pk DSG Life Edition,,https://www.almn.nl/p/volkswagen-polo-1-0-tsi-95pk-dsg-life-edition-47908680,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5319/93e14452-853f-43a4-8326-40cafe88ed2c.jpg,"€ 0,00",Volkswagen,in stock,used
69231bd3-ba00-4b4d-ac46-e9c977358aa5,Škoda Kodiaq 1.5 TSI 204pk DSG PHEV Sportline Business,,https://www.almn.nl/p/skoda-kodiaq-1-5-tsi-204pk-dsg-phev-sportline-business-47908524,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5316/75dfef2d-197d-4858-8ef8-4c1f5f275071.jpg,"€ 0,00",Škoda,in stock,used
939c32b1-c22c-4991-9aad-34e765dd4d59,Volkswagen Polo 1.0 TSI DSG Life Edition,,https://www.almn.nl/p/volkswagen-polo-1-0-tsi-dsg-life-edition-46474444,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5289/429ebdba-1f33-4964-8f19-13df0d0d906d.jpg,"€ 25.807,00",Volkswagen,in stock,used
28c64a19-9587-4f25-b885-a502de0da8d5,Škoda Superb Combi 1.5 TSI MHEV First Edition,,https://www.almn.nl/p/skoda-superb-combi-1-5-tsi-mhev-first-edition-46423704,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5275/7fe43627-6ba1-4658-9f54-67d97c326822.jpg,"€ 34.524,00",Škoda,in stock,used
d035c9c6-f3a7-4407-92d1-09d2fec757e1,Volkswagen Polo 1.0 TSI Life Edition,,https://www.almn.nl/p/volkswagen-polo-1-0-tsi-life-edition-46423161,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5270/d67cc088-9542-421d-ae06-003e0684a03f.jpg,"€ 22.434,00",Volkswagen,in stock,used
a79e8d5d-98f8-4987-bd47-9ed0f7f038f6,Škoda Kamiq 1.0 TSI DSG Business Edition,,https://www.almn.nl/p/skoda-kamiq-1-0-tsi-dsg-business-edition-46423054,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5269/278b9b7d-379f-4cc0-84bd-789ddd224547.jpg,"€ 28.515,00",Škoda,in stock,used
b9cb1c14-603c-4651-8e4f-1f1714029875,Volkswagen T-Roc 1.0 TSI Life Edition,,https://www.almn.nl/p/volkswagen-t-roc-1-0-tsi-life-edition-46422386,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5264/087044d6-5c0b-4062-bd22-1a739e2974a1.jpg,"€ 30.414,00",Volkswagen,in stock,used
1944d352-a67f-4041-84b8-145cba0e605d,Volkswagen Tiguan 1.5 DSG eHybrid Life Edition,,https://www.almn.nl/p/volkswagen-tiguan-1-5-dsg-ehybrid-life-edition-46421466,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5257/e7c74a3f-86a9-4463-978a-1ef6a3048179.jpg,"€ 42.548,00",Volkswagen,in stock,used
a7d9e914-809d-42ea-ae4f-bd269ea60c82,Volkswagen T-Roc 1.5 TSI DSG Life Edition,,https://www.almn.nl/p/volkswagen-t-roc-1-5-tsi-dsg-life-edition-46421388,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5256/2b6daaf7-7305-4a4e-9a19-e641af8abebb.jpg,"€ 34.100,00",Volkswagen,in stock,used
fb2f4283-7da1-4875-91d7-a3a699edd856,Volkswagen Tiguan 1.5 DSG eHybrid Life Edition,,https://www.almn.nl/p/volkswagen-tiguan-1-5-dsg-ehybrid-life-edition-46420992,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5253/89c60878-e9aa-436b-8e3d-be118fb6dfb6.jpg,"€ 42.916,00",Volkswagen,in stock,used
249a2bba-fdc5-44cc-a2d2-b3bc67d91743,Volkswagen T-Roc 1.0 TSI 115pk Life Edition,,https://www.almn.nl/p/volkswagen-t-roc-1-0-tsi-115pk-life-edition-44630288,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5152/614bb65b-b1bb-40e9-81c9-63ea1aef38dd.jpg,"€ 30.414,00",Volkswagen,in stock,used
ba0c5988-a788-424e-86ec-d83a6a2c52fd,Volkswagen Polo 1.0 TSI 95pk DSG Life Edition,,https://www.almn.nl/p/volkswagen-polo-1-0-tsi-95pk-dsg-life-edition-44628858,https://s3.eu-central-1.amazonaws.com/almn-nl/cache/vehicle/5141/153afdee-bef8-4e17-a2ab-45e6b3c86c82.jpg,"€ 25.567,00",Volkswagen,in stock,used
Last updated: Sun Jul 19 21:12:44 UTC 2026
